127.0.0.1, 2015-11-20 23:48:26, GET, /, HTTP/1.1, 303, 0.000969
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/default/index, HTTP/1.1, 200, 1.756655
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000900
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000845
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000631
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001706
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001372
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002238
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001796
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000393
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000380
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000644
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000698
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001042
127.0.0.1, 2015-11-20 23:48:28, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000408
127.0.0.1, 2015-11-20 23:48:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.032298
127.0.0.1, 2015-11-20 23:48:37, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000393
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/default/site, HTTP/1.1, 303, 0.089340
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/default/index, HTTP/1.1, 200, 0.044804
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.000733
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.001884
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.000570
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000378
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000437
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002200
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001481
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.002217
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001835
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.001334
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000789
127.0.0.1, 2015-11-20 23:48:39, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.000504
127.0.0.1, 2015-11-20 23:48:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2015-11-20 23:48:42, POST, /admin/default/index, HTTP/1.1, 303, 0.053744
127.0.0.1, 2015-11-20 23:48:42, GET, /admin/default/site, HTTP/1.1, 200, 0.062958
127.0.0.1, 2015-11-20 23:48:43, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.000428
127.0.0.1, 2015-11-20 23:48:43, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.000528
127.0.0.1, 2015-11-20 23:48:43, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000402
127.0.0.1, 2015-11-20 23:48:43, POST, /admin/default/check_version, HTTP/1.1, 200, 0.622276
127.0.0.1, 2015-11-20 23:49:10, POST, /admin/default/site, HTTP/1.1, 200, 0.055005
127.0.0.1, 2015-11-20 23:49:23, POST, /admin/default/site, HTTP/1.1, 200, 0.052174
127.0.0.1, 2015-11-20 23:49:46, POST, /admin/default/site, HTTP/1.1, 200, 0.085468
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 304, 0.000947
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 304, 0.000444
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001173
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002113
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 304, 0.001777
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001889
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000319
127.0.0.1, 2015-11-20 23:49:46, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000291
